,競走馬,馬番,種牡馬,騎手,調教師,速さ
1,クイックワーカー,77.3,63.6,87.3,174.7,86.6
2,シーブックカフェ,85.3,81.5,95.7,91.7,83.0
3,ユウユウクラージュ,74.9,51.7,87.2,,89.7
4,ディスタイム,76.4,17.1,98.1,,87.2
5,スズブルースカイ,81.7,181.9,83.4,,82.6
6,ヴォーノ,95.9,34.6,97.0,,82.8
7,セントレガーロ,79.3,,92.0,144.3,87.0
8,コウシ,105.1,33.3,97.6,151.1,80.6
9,ネコシリーズ,81.4,46.5,97.9,85.4,77.3
10,クールリフレイン,86.2,50.0,68.0,133.4,86.6
