馬番,競走馬,種牡馬,騎手,調教師
1<br>(77.3),クイックワーカー<br>(86.6),キングカメハメハ<br>(63.6),矢野貴<br>(87.3),川島一<br>(174.7)
2<br>(85.3),シーブックカフェ<br>(83.0),ヘニーヒューズ<br>(81.5),山崎誠<br>(95.7),玉井昇<br>(91.7)
3<br>(74.9),ユウユウクラージュ<br>(89.7),フリオーソ<br>(51.7),山中悠<br>(87.2),渋谷博<br>(nan)
4<br>(76.4),ディスタイム<br>(87.2),パドトロワ<br>(17.1),森泰斗<br>(98.1),佐藤太<br>(nan)
5<br>(81.7),スズブルースカイ<br>(82.6),ダノンバラード<br>(181.9),石崎駿<br>(83.4),渋谷博<br>(nan)
6<br>(95.9),ヴォーノ<br>(82.8),マジェスティックウォリアー<br>(34.6),本田重<br>(97.0),山下之<br>(nan)
7<br>(79.3),セントレガーロ<br>(87.0),クリエイター２<br>(nan),篠谷葵<br>(92.0),岡林光<br>(144.3)
8<br>(105.1),コウシ<br>(80.6),キングヘイロー<br>(33.3),和田譲<br>(97.6),米谷康<br>(151.1)
9<br>(81.4),ネコシリーズ<br>(77.3),アジュディミツオー<br>(46.5),左海誠<br>(97.9),石井勝<br>(85.4)
10<br>(86.2),クールリフレイン<br>(86.6),ネオユニヴァース<br>(50.0),澤田龍<br>(68.0),新井清<br>(133.4)
