,競走馬,馬番,種牡馬,騎手,調教師,速さ
1,シュプレノン,96.5,63.6,98.1,120.4,88.1
2,コスモロブロイ,99.7,38.0,97.6,100.4,81.2
3,ドイテー,94.3,35.4,87.4,104.7,101.3
4,ウインプラウド,89.9,,95.7,93.8,92.0
5,シャイニングアカリ,94.0,123.8,102.6,108.0,89.4
6,スターライトブルー,88.0,28.2,94.4,,96.3
7,フワトロ,74.1,50.0,80.8,122.3,93.5
8,ワンフォーオール,80.1,31.2,85.3,66.7,84.3
9,ホワイトヘッド,70.3,38.9,83.0,174.7,94.6
