馬番,競走馬,種牡馬,騎手,調教師
1<br>(96.5),シュプレノン<br>(88.1),キングカメハメハ<br>(63.6),森泰斗<br>(98.1),山中尊<br>(120.4)
2<br>(99.7),コスモロブロイ<br>(81.2),ゼンノロブロイ<br>(38.0),和田譲<br>(97.6),齊藤敏<br>(100.4)
3<br>(94.3),ドイテー<br>(101.3),エスケンデレヤ<br>(35.4),酒井忍<br>(87.4),矢野義<br>(104.7)
4<br>(89.9),ウインプラウド<br>(92.0),Ｌｅｍｏｎ　Ｄｒｏｐ　Ｋｉｄ<br>(nan),山崎誠<br>(95.7),河津裕<br>(93.8)
5<br>(94.0),シャイニングアカリ<br>(89.4),ヴィットリオドーロ<br>(123.8),御神訓<br>(102.6),佐々仁<br>(108.0)
6<br>(88.0),スターライトブルー<br>(96.3),ホワイトマズル<br>(28.2),笹川翼<br>(94.4),村上頼<br>(nan)
7<br>(74.1),フワトロ<br>(93.5),ネオユニヴァース<br>(50.0),岡村健<br>(80.8),林隆之<br>(122.3)
8<br>(80.1),ワンフォーオール<br>(84.3),ディープインパクト<br>(31.2),達城龍<br>(85.3),上杉昌<br>(66.7)
9<br>(70.3),ホワイトヘッド<br>(94.6),ダンカーク<br>(38.9),本橋孝<br>(83.0),川島一<br>(174.7)
