馬番,競走馬,種牡馬,騎手,調教師
1<br>(77.3),タフチョイス<br>(92.2),ハードスパン<br>(45.7),古岡勇<br>(94.5),林　幻<br>(nan)
2<br>(85.3),ニッポンダエモン<br>(91.5),サウスヴィグラス<br>(88.0),森泰斗<br>(98.1),新井清<br>(133.4)
3<br>(74.9),インザフューチャー<br>(85.2),ノーザンリバー<br>(64.0),山崎誠<br>(95.7),山本学<br>(90.1)
4<br>(76.4),コアコンピタンス<br>(91.3),キングカメハメハ<br>(63.6),澤田龍<br>(68.0),坂本昇<br>(149.0)
5<br>(81.7),ハクサンホーリー<br>(96.6),シルポート<br>(50.8),酒井忍<br>(87.4),矢野義<br>(104.7)
6<br>(95.9),ジョイズエターナル<br>(94.6),ディープブリランテ<br>(38.0),矢野貴<br>(87.3),山田信<br>(167.5)
7<br>(79.3),プレストシャイン<br>(89.0),グランプリボス<br>(39.3),小杉亮<br>(100.5),山下之<br>(nan)
8<br>(105.1),アマルインジャズ<br>(91.9),ヴィットリオドーロ<br>(123.8),張田昂<br>(93.8),張田京<br>(148.9)
9<br>(81.4),トミケンゲヌーク<br>(90.9),アイルハヴアナザー<br>(68.3),柿本量<br>(0.0),阿井正<br>(61.0)
10<br>(86.2),ガイセン<br>(92.6),ダノンバラード<br>(181.9),岡村健<br>(80.8),稲益貴<br>(118.6)
