,競走馬,馬番,種牡馬,騎手,調教師,速さ
1,タフチョイス,77.3,45.7,94.5,,92.2
2,ニッポンダエモン,85.3,88.0,98.1,133.4,91.5
3,インザフューチャー,74.9,64.0,95.7,90.1,85.2
4,コアコンピタンス,76.4,63.6,68.0,149.0,91.3
5,ハクサンホーリー,81.7,50.8,87.4,104.7,96.6
6,ジョイズエターナル,95.9,38.0,87.3,167.5,94.6
7,プレストシャイン,79.3,39.3,100.5,,89.0
8,アマルインジャズ,105.1,123.8,93.8,148.9,91.9
9,トミケンゲヌーク,81.4,68.3,0.0,61.0,90.9
10,ガイセン,86.2,181.9,80.8,118.6,92.6
