,0
ダイワレイダース,68.7
エーシンスピーダー,44.8
ペルーサ,44.4
Sidney's Candy,66.2
フサイチセブン,16.2
ロードバリオス,26.5
Kitten's Joy,26.0
ブライアンズタイム,18.8
デビッドジュニア,26.0
サダムパテック,12.8
Zoffany,31.2
Animal Kingdom,61.9
ガルボ,17.5
Verrazano,123.0
ダノンゴーゴー,24.3
Smart Strike,58.5
Point of Entry,38.0
マルカシェンク,12.4
Camelot,109.3
チーフベアハート,21.3
クーリンガー,35.4
スズカフェニックス,9.0
フェデラリスト,35.0
Bernardini,51.7
ノボトゥルー,50.8
オネストジョン,20.1
Gio Ponti,49.1
サクラバクシンオー,19.6
ストラヴィンスキー,6.8
リヤンドファミユ,19.2
リンカーン,19.2
アポロソニック,19.2
キョウワスプレンダ,32.0
スパロービート,15.8
ラブイズブーシェ,31.2
ウォーターリーグ,13.2
エイシンデピュティ,15.8
パーソナルラッシュ,8.5
クラグオー,31.2
エーシンジーライン,18.4
Blame,45.7
ロドリゴデトリアーノ,91.4
メジロベイリー,30.3
Pivotal,44.8
Lonhro,44.8
オリオンザサンクス,29.5
ホールウォーカー,14.9
Stormy Atlantic,43.5
セイクリムズン,14.5
Competitive Edge,85.0
To Honor and Serve,41.8
Redoute's Choice,81.1
カフェオリンポス,26.9
Sea The Moon,80.3
Dubawi,40.1
ティンバーカントリー,26.5
Creative Cause,76.9
Custom for Carlos,76.4
アジュディケーティング,18.8
チチカステナンゴ,10.7
Exchange Rate,35.9
アドマイヤコジーン,10.2
リッカロイヤル,35.0
カリズマティック,8.5
Giant's Causeway,23.1
Canford Cliffs,22.6
Uncle Mo,22.2
Scat Daddy,12.8
コパノジングー,63.2
ゴールスキー,31.2
クレスコグランド,31.2
Lilbourne Lad,61.9
Bullet Train,61.5
First Dude,61.1
War Front,30.3
Tapizar,30.3
ファンタスティックライト,8.5
ハクサンムーン,29.5
トウケイヘイロー,14.1
Justin Phillip,27.3
ブリーズフレイバー,13.7
リッカバクシンオ,17.9
サブミーカー,53.4
ルールオブロー,13.2
Archarcharch,26.0
Union Rags,51.7
Bodemeister,51.2
Nathaniel,50.4
Quality Road,16.2
シベリアンホーク,24.3
アロマカフェ,16.2
テイエムオペラオー,9.8
エーシンモアオバー,23.5
アラムシャー,47.0
Shackleford,46.1
Thewayyouare,46.1
Golden Horn,14.9
エムオーウイナー,11.1
ボストンハーバー,41.4
スーパーホーネット,13.7
