モリノブレイク,97.1,29.9,83.4,77.9,89.7
シャドウカンパニー,87.7,40.1,87.3,159.0,92.6
グリーンハイパワー,95.3,45.3,85.3,82.1,82.7
ダイリンウルフ,84.8,52.5,94.0,112.3,93.6
ケイティーセキトバ,91.7,81.5,91.5,68.7,85.7
エンドウォーニング,90.6,45.3,74.8,37.9,93.4
コスモギンガ,79.1,13.2,,61.7,77.7
セパヌイール,78.0,88.0,94.4,,94.5
スターズテソーロ,89.9,39.3,87.4,159.0,96.4
オーシャンリバー,86.3,64.0,97.6,90.2,91.4
ザプリオレス,79.8,39.3,102.6,117.0,94.7
リコーパイソン,72.2,56.4,97.0,77.9,90.7
サブノアカゾナエ,75.1,52.5,76.1,89.7,87.8
チェリーレッド,77.2,40.1,78.1,57.4,84.0
