馬番,競走馬,種牡馬,騎手,調教師
1<br>(77.3),クレセントアーチ<br>(83.8),バトルプラン<br>(48.2),和田譲<br>(97.6),齊藤敏<br>(100.4)
2<br>(85.3),トイトイトイ<br>(85.2),メイショウボーラー<br>(35.0),山口達<br>(84.4),林正人<br>(123.0)
3<br>(74.9),アルファフレイム<br>(83.5),パイロ<br>(72.6),森泰斗<br>(98.1),坂本昇<br>(149.0)
4<br>(76.4),スズノチェルシー<br>(85.8),メイショウサムソン<br>(27.8),岡村健<br>(80.8),山中尊<br>(120.4)
5<br>(81.7),ボルドーリブロン<br>(88.8),ダノンバラード<br>(181.9),橋本直<br>(77.8),平山真<br>(92.4)
6<br>(95.9),ヨウコウ<br>(90.5),エイシンアポロン<br>(46.5),左海誠<br>(97.9),林正人<br>(123.0)
7<br>(79.3),ロンリーウェイ<br>(88.7),ネオユニヴァース<br>(50.0),澤田龍<br>(68.0),川島一<br>(174.7)
8<br>(105.1),エミーズロマンス<br>(99.2),ベルシャザール<br>(30.7),町田直<br>(91.5),山下之<br>(nan)
9<br>(81.4),クリスタルバブルス<br>(88.1),ステイゴールド<br>(29.0),本田重<br>(97.0),山中尊<br>(120.4)
10<br>(86.2),ビマジョ<br>(87.7),アイルハヴアナザー<br>(68.3),古岡勇<br>(94.5),伊藤滋<br>(79.8)
