,競走馬,馬番,種牡馬,騎手,調教師,速さ
1,クレセントアーチ,77.3,48.2,97.6,100.4,83.8
2,トイトイトイ,85.3,35.0,84.4,123.0,85.2
3,アルファフレイム,74.9,72.6,98.1,149.0,83.5
4,スズノチェルシー,76.4,27.8,80.8,120.4,85.8
5,ボルドーリブロン,81.7,181.9,77.8,92.4,88.8
6,ヨウコウ,95.9,46.5,97.9,123.0,90.5
7,ロンリーウェイ,79.3,50.0,68.0,174.7,88.7
8,エミーズロマンス,105.1,30.7,91.5,,99.2
9,クリスタルバブルス,81.4,29.0,97.0,120.4,88.1
10,ビマジョ,86.2,68.3,94.5,79.8,87.7
